stock_1,stock_2,mi_value
CTAS,NVR,2.431279145673829
MPWR,RSG,2.431217617488464
MA,NVDA,2.4311833532058436
APO,RSG,2.4310828242984903
AME,CPRT,2.430970573143322
ACN,CTAS,2.4308907179732087
AMD,NVDA,2.4308664525217543
MRSH,NDAQ,2.4306859306061157
ICE,SPGI,2.430579476641929
CTAS,PH,2.430268916898762
DECK,PGR,2.43025077065957
DECK,MSFT,2.43012953070507
APO,AVGO,2.4297438372042075
MSFT,ORLY,2.429743439061707
ETN,LIN,2.4295413850329295
AJG,PTC,2.429460147033101
MCO,MSCI,2.429181220578073
AAPL,CPRT,2.42909280607438
KLAC,LIN,2.42908072978603
GRMN,WM,2.42897292021674
AVGO,PWR,2.4286301472337186
AXON,FICO,2.428534473433496
AJG,NOW,2.428506508110755
AJG,HLT,2.4281931549775555
SNPS,SPGI,2.428168557701091
APH,LIN,2.4281201533737216
BRO,MPWR,2.428111323513833
CTAS,SHW,2.428011945506169
APH,WM,2.4279872433811605
AMZN,CTAS,2.4279607010811493
MSFT,ROL,2.4279229824831114
MSFT,WST,2.4279152835757465
CPT,MAA,2.4277135804872247
COST,NDAQ,2.427532447774565
ATO,RSG,2.4274663659324167
CAT,URI,2.427151477945939
ADP,WRB,2.4271449735922053
AAPL,MSI,2.426164396623851
CAT,TT,2.4258473860069087
AON,WM,2.4257100143430477
BRK-B,CTAS,2.4255836167514193
AFL,MRSH,2.425384612100506
AVGO,TDG,2.42518357498175
FAST,PGR,2.4250729111736726
GOOG,GRMN,2.4249098975241488
AMAT,MSFT,2.4248750595249797
BRO,TDG,2.424858928398959
FICO,WMT,2.4247312025898378
ARES,MCO,2.424635820156118
GOOG,RSG,2.4244608007519393
MSCI,NDAQ,2.42425186303561
AJG,FTNT,2.424124079496586
COST,INTU,2.423986232384639
DECK,RSG,2.4237748070734506
MA,TT,2.423693538532161
GOOG,SPGI,2.4233646952579893
PGR,TDG,2.423310438094175
GOOG,MPWR,2.4232030045970614
APH,FICO,2.4231990700333044
AMAT,AVGO,2.4231413548004124
MSI,VRSK,2.423122817439171
CDNS,MA,2.4230303931850226
FISV,MSI,2.422956170613026
BR,MSI,2.422802007588662
HUBB,TT,2.4226991076970146
AVGO,COST,2.4226129636617357
MSI,PWR,2.422418643612775
ANET,FIX,2.422399887529603
AJG,AMAT,2.422337775004248
AJG,DOV,2.422325419692653
FIX,KLAC,2.422292339305078
AJG,AXON,2.4222154659706057
FISV,MA,2.422157706101671
APH,ORCL,2.422118510431592
AXON,CTAS,2.422109801081884
GRMN,MRSH,2.421869308451223
COST,WRB,2.421855452027998
MA,MRSH,2.4217452163788273
NVDA,V,2.4216657892710405
GRMN,INTU,2.4214303055692423
PGR,TMUS,2.42101087730432
ANET,CTAS,2.4206915105232287
INTU,V,2.4206558597536096
HLT,RSG,2.420599601995232
GOOG,ISRG,2.420558643714623
KLAC,PH,2.419461586447558
CTAS,ROP,2.4193899186614676
